"Sign In","Вход"
"Create an Account","Регистрация"
"My Account","Гараж"
"My Whish list","Избранное"
"Compare Products","Сравнение"
"My Cart", "Корзина"
"Out of stock","Нет в наличии"
"In stock","В наличии"
"Reviews","Отзыва"
"Add to Compare","Сравнить"
"Add to Wish List","Избранное"
"Email","Поделиться"
"More Information","Характеристики"
"Notify me when this product is in stock","Сообщить о поступлении"
"SKU","Код товара"
"We found other products you might like!","Похожие товары"
"Details","Описание"
"Recently Viewed","Вы просматривали"
"Review","Отзыв"
"Search entire store here...","Поиск по названию, коду, категории товара"
"Product specifications", "Характеристики товара"
"Review (%1)", "Отзывы (%1)"
"Follow us on social networks", "Следите за нами в соцсетях"
"Leave feedback","Оставить отзыв"
"Your city","Ваш город"
"Home", "Главная"
"More details","Подробнее"
"Product description","Описание товара"
"Show all specification","Показать все характеристики"
"Show all reviews","Показать все отзывы"
"Advantages","Достоинства"
"Disadvantages", "Недостатки"
"Did you find this review helpful","Был ли вам полезен этот отзыв"
"Reply","Ответить"
"answer","ответ"
"Designed by ","Разработано в "
