"Sign In","Вхід"
"Create an Account","Реєстрація"
"My Account","Гараж"
"My Whish list","Вибране"
"Compare Products","Порівняння"
"My Cart", "Кошик"
"Out of stock","Немає в наявності"
"In stock","В наявності"
"Reviews","Відгуки"
"Add to Compare","Порівняти"
"Add to Wish List","Вибране"
"Email","Поділитися"
"More Information","Характеристики"
"Notify me when this product is in stock","Повідомити про надходження"
"SKU","Код товару"
"We found other products you might like!","Схожі товари"
"Details","Опис"
"Recently Viewed","Ви переглядали"
"Review","Відгук"
"Search entire store here...","Пошук по назві, коду, категорії товару"
"Product specifications", "Характеристики товару"
"Follow us on social networks", "Слідкуйте за нами в соцмережах"
"Review (%1)", "Відгуки (%1)"
"Home", "Головна"
"Leave feedback","Залишити відгук"
"Your city","Ваше місто"
"More details","Детальніше"
"Product description","Опис товару"
"Show all specifications","Показати всі характеристики"
"Show all reviews","Показати всі відгуки"
"Add to Cart", "Додати до корзини"
"Advantages","Переваги"
"Disadvantages", "Недоліки"
"Did you find this review helpful","Чи був вам корисний цей відгук"
"Reply","Відповісти"
"answer","відповідь"
"Designed by ","Розроблено в "
